,Time-s,MFM-sig,MFM-flow (ml/min)
07.02.2023 ; 09:11:00,0,3087,4.823677
07.02.2023 ; 09:11:02,2,3096,4.837275
07.02.2023 ; 09:11:04,4,3109,4.857791
07.02.2023 ; 09:11:06,6,3136,4.900642
07.02.2023 ; 09:11:08,8,3135,4.898531
07.02.2023 ; 09:11:10,10,3155,4.929859
07.02.2023 ; 09:11:12,12,3186,4.977698
07.02.2023 ; 09:11:14,14,3193,4.988925
07.02.2023 ; 09:11:16,16,3215,5.023242
07.02.2023 ; 09:11:18,18,3230,5.046544
07.02.2023 ; 09:11:20,20,3239,5.060404
07.02.2023 ; 09:11:22,22,3254,5.084053
07.02.2023 ; 09:11:24,24,3262,5.097343
07.02.2023 ; 09:11:26,26,3264,5.099464
07.02.2023 ; 09:11:28,28,3283,5.12999
07.02.2023 ; 09:11:30,30,3292,5.143509
07.02.2023 ; 09:11:32,32,3283,5.129634
07.02.2023 ; 09:11:34,34,3287,5.135923
07.02.2023 ; 09:11:36,36,3295,5.149021
07.02.2023 ; 09:11:38,38,3300,5.155684
07.02.2023 ; 09:11:40,40,3302,5.15905
07.02.2023 ; 09:11:42,42,3299,5.154768
07.02.2023 ; 09:11:44,44,3309,5.170514
07.02.2023 ; 09:11:46,46,3303,5.160564